分区,播放数,投币数,收藏数,评论数,时长
MAD·AMV,3154478,99224,133118,8890,39
MMD·3D,3011047,27927,78763,5253,10
短片·手书·配音,13051358,232141,336921,18763,15
手办·模玩,2941964,30001,46697,7660,30
特摄,5230041,44692,113789,8549,25
动漫杂谈,11420303,281297,273828,20967,105
综合,7522904,96743,200734,9466,21
资讯,1732786,8294,29953,8344,19
官方延伸,652257,6282,13413,2507,99
完结动画,234728,365,8,691,319
连载动画,5650036,29608,151,9844,224
国产动画,5819805,11361,322,3238,103
国产原创相关,3002824,38754,58817,9324,37
布袋戏,71168,663,849,612,70
资讯,704123,2389,216,1884,13
动态漫·广播剧,285924,1469,6433,628,39
原创音乐,5818292,229433,201003,21312,33
翻唱,7138604,175074,187547,13331,29
VOCALOID·UTAU,1299603,46296,90448,4942,34
演奏,4201315,100786,104865,8683,69
MV,4718546,72241,96360,11147,40
音乐现场,3258257,52758,91199,33302,191
音乐综合,4167361,48435,114499,7690,228
乐评盘点,2200851,65080,40370,8082,229
音乐教学,518881,8593,14546,1656,39
宅舞,4402117,30469,68810,6332,14
舞蹈综合,2277415,27778,87875,3420,13
舞蹈教程,533829,9193,26340,714,204
街舞,2500041,5050,28241,1653,15
明星舞蹈,6911699,53907,143128,10939,24
单机游戏,20362788,379497,535124,11894,666
电子竞技,13426350,204481,117966,28734,333
手机游戏,15402740,315457,268906,33333,164
网络游戏,5441371,98465,52658,12118,49
桌游棋牌,1973689,52170,15839,7052,82
GMV,1974842,35582,72275,2979,19
音游,3947515,46361,62803,8999,36
Mugen,189736,674,1795,898,60
科学科普,15161691,251961,247993,35193,83
社科·法律·心理,6368642,208818,289778,30055,100
人文历史,8833435,334516,244028,41849,173
财经商业,4210935,50625,65072,17119,131
校园学习,4069892,43475,191460,8989,119
职业职场,2736613,36234,48985,11639,126
设计·创意,5602515,52221,84660,5214,113
数码,6386435,214320,75804,25306,131
软件应用,3208159,65128,217884,10759,36
计算机技术,2805072,15407,54646,7752,31
极客DIY,2678674,224941,63320,9860,61
篮球,3501650,16298,30710,4201,31
足球,3418720,30846,20569,10377,51
健身,4084871,30429,94837,4614,39
竞技体育,1989082,20379,15388,6826,136
运动文化,1337708,10253,15526,2714,60
运动综合,6135521,92337,106760,10340,108
赛车,2723585,18384,25110,7060,575
改装玩车,3448019,38871,31040,5151,100
新能源车,3952566,25439,16819,15186,118
房车,1357587,13224,11173,2979,62
摩托车,1100472,15715,4859,7052,146
购车攻略,1434811,39149,12997,6423,165
汽车生活,4707449,154819,31783,10133,116
搞笑,20158130,321862,273007,35261,38
出行,12029750,224892,226480,23597,67
三农,4406573,116383,31946,20350,56
家居房产,5173724,35231,82730,8813,40
手工,9563249,228840,152999,8541,91
绘画,13384483,113621,249768,9387,6
日常,16386450,672873,351023,37493,58
美食,14868898,360868,201572,16690,78
美食制作,10151555,150296,172640,10256,51
美食侦探,15960298,350636,165740,26009,88
美食测评,8411143,76388,70298,8423,83
田园美食,3463058,56427,14822,5023,70
美食记录,8275637,140304,75309,14262,59
喵星人,8259751,99068,120523,9398,15
汪星人,8199025,145184,113214,12764,21
野生动物,4018906,7909,19373,4922,17
动物综合,7843880,359515,130963,50771,66
鬼畜调教,1626334,30308,42405,3527,15
音MAD,235158,8930,14591,1445,31
人力VOCALOID,2995333,87550,86704,4522,21
鬼畜剧场,4845681,44212,106053,3544,31
教程演示,24206,64,223,102,9
美妆护肤,5776649,66438,94580,8887,48
仿妆cos,9112290,60685,241467,10333,8
穿搭,5261386,26173,145583,5338,38
时尚潮流,4601775,186368,90673,5687,55
综艺,2575104,21361,22384,5700,924
娱乐杂谈,3500120,11240,28755,5276,59
粉丝创作,3704343,18372,46631,4298,12
明星综合,4807658,111607,79894,20611,356
影视杂谈,11712388,261537,140689,21796,167
影视剪辑,8885759,146554,225456,11287,36
小剧场,15464709,274718,267003,17614,29
预告·资讯,3597563,8144,24201,12345,32
人文·历史,1036976,2836,2417,551,715
科学·探索·自然,8132443,6279,71,1345,244
军事,1050346,905,515,685,92
社会·美食·旅行,2902432,4524,62,1584,294
电影,223143,335,10,761,360
欧美电影,6185291,10020,182,7040,1172
日本电影,23881,35,3,81,74
其他国家,27277,113,1,60,42
国产剧,54476,712,172,364,286
海外剧,1053852,2210,46,754,341
